postcode
50480
18300
51200
81100
11900
6150
51200
81700
85400
43000
81700
81700
44300
56000
56000
85000
51000
43000
47810
58000
81100
75400
11600
11700
13600
40400
40400
40400
10450
11960
46100
46100
46050
46050
8000
89000
14000
14000
13400
13400
