state,code_start,code_end
kuala lumpur,50000,60000
putrajaya,62300,62988
labuan,87000,87033
selangor,40000,48300
selangor,63000,68100
terengganu,20000,24300
sarawak,93000,98859
sabah,88000,91309
kedah,5000,9810
kelantan,15000,18500
negeri sembilan,70000,73509
pulau pinang,10000,14400
johor,79000,86900
melaka,75000,78309
perlis,1000,2000
perak,30000,36810
pahang,25000,28800
pahang,39000,39200
pahang,49000,49000
pahang,69000,69000
other,0,1000000
